LoanID,AccountID,CustomerID,ProductID,SanctionDateKey,SanctionAmount,OutstandingAmount,EMIAmount,DPD,NPAFlag,Status
65,132,444,4,20200414,4216796.61,3436387.45,72549.4,0,0,Standard
66,133,364,5,20210304,7873189.0,5836067.25,110402.27,0,0,Standard
67,134,621,5,20210713,5064348.14,1520151.09,121028.94,60,0,Overdue
68,137,153,4,20230722,7762405.59,6349594.58,95134.03,180,1,NPA
69,141,1431,5,20220927,2891275.35,1985783.25,40143.44,120,1,NPA
70,142,577,4,20240331,6719006.32,5806157.55,122611.14,0,0,Standard
71,143,1304,5,20220506,5704383.41,2087742.56,143824.56,120,1,NPA
72,145,418,6,20201023,3882503.49,1221494.15,40860.59,60,0,Overdue
73,146,485,9,20201123,8364919.72,3381215.23,211119.13,120,1,NPA
74,147,271,5,20230318,1846946.27,1197306.6,43660.49,15,0,Overdue
75,149,1295,6,20220613,8024265.93,4614684.37,130237.34,0,0,Standard
76,150,567,6,20201010,6510843.51,2044915.05,133100.34,0,0,Standard
77,151,515,4,20221102,5465867.76,5208353.67,108559.54,180,1,NPA
78,152,1629,6,20240815,2934926.44,2505522.35,83333.44,0,0,Standard
79,155,209,9,20220704,6483343.86,2272055.78,190895.94,120,1,NPA
80,157,1899,9,20240903,2930433.84,1159339.32,83744.16,90,1,NPA
81,158,425,9,20220725,3735626.17,1352579.3,42128.88,0,0,Standard
82,160,623,4,20240126,1561129.75,704379.21,30716.17,0,0,Standard
83,161,170,5,20221001,5998007.17,2601223.03,173896.88,0,0,Standard
84,162,255,5,20240621,4976589.57,1562329.36,70834.17,0,0,Standard
85,163,1370,8,20210813,6665019.65,4225986.63,192634.7,0,0,Standard
86,167,1749,4,20241001,3519253.06,1370685.12,59538.45,30,0,Overdue
87,168,400,9,20211023,3479200.63,3197040.21,76655.66,60,0,Overdue
88,170,1219,4,20230729,4091022.96,3348630.31,114589.67,180,1,NPA
89,171,1813,6,20240423,6309825.4,4023139.17,68336.0,0,0,Standard
90,172,1117,5,20220321,6218608.07,2625615.45,99747.11,0,0,Standard
91,175,225,6,20210528,7344268.95,1120824.87,161653.9,0,0,Standard
92,176,902,6,20201008,8088778.87,3397357.24,228815.33,90,1,NPA
93,177,1418,5,20240921,7813497.48,1249370.89,132402.94,0,0,Standard
94,178,1532,9,20230117,7496728.0,1615051.48,210122.73,0,0,Standard
95,179,1664,4,20241015,6622499.24,3385185.21,137467.83,0,0,Standard
96,180,86,9,20230725,6743004.43,4431514.44,177618.39,0,0,Standard
97,185,234,5,20221229,5148434.63,2186210.6,85616.94,60,0,Overdue
98,187,40,5,20220124,8454663.87,6492923.32,147478.01,0,0,Standard
99,188,398,8,20230322,2892739.15,975290.28,58810.41,0,0,Standard
100,189,544,9,20230113,3519926.01,359732.17,60842.86,0,0,Standard
101,193,1680,8,20201011,8748784.91,4975427.17,138459.39,120,1,NPA
102,194,600,8,20200111,7501039.35,3461870.94,95861.76,120,1,NPA
103,195,306,9,20241002,7491281.26,2513409.35,169844.35,0,0,Standard
104,196,1628,6,20220531,849352.88,804019.38,14972.71,15,0,Overdue
105,197,386,8,20230426,2533158.54,548248.45,50705.53,0,0,Standard
106,200,430,9,20220416,8750549.64,7195071.63,87991.64,0,0,Standard
107,202,31,4,20220808,1720070.83,1125397.33,23144.82,0,0,Standard
108,203,414,9,20200617,813564.79,424588.96,16930.63,0,0,Standard
109,204,1063,9,20220825,6451147.2,5943270.75,141070.47,0,0,Standard
110,206,1980,4,20220919,7445029.47,6269647.94,147194.1,180,1,NPA
111,207,1217,6,20230611,7907239.04,5186272.24,234240.57,0,0,Standard
112,212,1863,9,20201027,6750473.48,3619938.4,163026.07,90,1,NPA
113,214,1220,8,20241023,1512134.44,168479.83,37817.37,0,0,Standard
114,215,980,4,20221208,2351222.94,1237553.16,36900.79,0,0,Standard
115,216,1255,5,20210111,3400913.45,1565847.95,82867.54,15,0,Overdue
116,222,883,6,20211228,2421589.53,330736.1,59204.3,15,0,Overdue
117,224,1989,5,20241101,8421367.64,8306947.62,247767.06,0,0,Standard
118,228,1504,5,20211015,8195960.58,7471946.89,118373.08,60,0,Overdue
119,231,25,5,20200619,8077116.76,1980798.8,182379.16,0,0,Standard
120,232,333,5,20210828,2946728.17,2376312.1,88345.82,0,0,Standard
121,234,543,8,20210719,6435124.91,3380305.93,182228.51,0,0,Standard
122,236,1831,8,20210424,5849062.07,1236367.03,117986.36,0,0,Standard
123,237,683,6,20230828,4989993.92,4173291.45,119073.26,0,0,Standard
124,238,1886,9,20220112,8683463.36,6128234.63,206844.9,90,1,NPA
125,240,1182,4,20240903,4118035.4,3034305.11,42241.25,0,0,Standard
126,241,282,6,20230123,1614383.38,1258028.3,28458.46,0,0,Standard
127,242,363,6,20230422,7294413.08,1068291.62,204217.29,0,0,Standard
128,243,1112,8,20210222,1632725.82,277755.46,20782.88,0,0,Standard
129,244,455,4,20230114,2511940.53,604016.46,53188.65,60,0,Overdue
130,249,234,5,20230228,773388.68,286309.53,7985.6,0,0,Standard
131,252,1762,8,20200622,3332976.76,871249.71,47344.81,0,0,Standard
132,253,275,4,20200616,8160078.56,6363729.57,160475.4,15,0,Overdue
133,255,757,9,20240912,1829362.01,1405450.88,42706.71,180,1,NPA
134,257,697,5,20240413,7446385.7,4702493.92,198269.34,0,0,Standard
135,260,1577,5,20240110,3201130.03,1289143.49,59263.94,120,1,NPA
136,261,585,8,20200617,8334441.03,4212764.12,187502.03,0,0,Standard
137,262,225,5,20200205,2916759.57,1992848.68,32637.66,0,0,Standard
138,268,247,6,20221020,4407346.1,3725258.97,75287.49,0,0,Standard
139,274,1197,8,20200228,439250.34,269612.11,8316.29,180,1,NPA
140,277,278,9,20200607,1753424.02,1536688.14,31529.76,0,0,Standard
141,278,619,8,20240328,3958277.94,2219699.43,76566.71,60,0,Overdue
142,280,775,5,20230514,2838732.09,713856.58,69246.74,0,0,Standard
143,281,56,8,20230317,2293660.82,2253864.79,68518.82,120,1,NPA
144,282,1530,8,20200315,6783373.85,2450335.74,102143.16,0,0,Standard
145,284,1300,8,20230318,8820764.81,7009435.63,164042.45,0,0,Standard
146,285,299,9,20200129,8311086.02,880379.67,160201.41,0,0,Standard
147,290,785,4,20201219,1764578.04,339429.85,39500.89,0,0,Standard
148,291,944,6,20220623,6638082.8,5773372.75,149322.44,15,0,Overdue
149,292,346,9,20230420,8695436.86,7926227.03,112775.81,0,0,Standard
150,295,1989,6,20210512,2536329.58,1809117.47,55627.9,60,0,Overdue
151,296,1882,6,20210620,1138180.36,353565.35,26936.22,0,0,Standard
152,299,105,9,20200227,6768678.89,4500487.77,128342.04,0,0,Standard
153,301,344,9,20240411,3168303.73,2904978.3,33422.46,0,0,Standard
154,302,257,6,20241201,2017580.51,985561.85,59667.28,0,0,Standard
155,304,809,9,20221024,6992404.99,3181413.12,146141.19,15,0,Overdue
156,305,264,5,20201121,1533105.31,859242.03,19569.34,0,0,Standard
157,308,1527,5,20200611,5501372.71,1222788.62,161444.52,60,0,Overdue
158,309,1950,4,20240303,6893639.66,6509476.94,103159.1,120,1,NPA
159,311,1025,5,20220324,8881919.18,8472662.76,167788.04,0,0,Standard
160,312,284,4,20200418,6252335.99,5848991.99,104873.33,120,1,NPA
161,313,1484,6,20210530,2292564.4,1178211.73,41968.87,0,0,Standard
162,318,893,5,20210701,5338544.6,2805856.77,68473.26,15,0,Overdue
163,320,332,9,20200826,6203123.41,1693298.35,135029.12,30,0,Overdue
164,321,1426,6,20230412,2748165.03,1015601.41,36387.0,0,0,Standard
165,322,990,4,20241019,5317846.51,4090897.64,64784.42,0,0,Standard
166,326,1739,8,20220515,8736154.06,4160425.07,234082.79,0,0,Standard
167,331,480,4,20230411,8452628.24,7296227.73,235343.99,0,0,Standard
168,332,630,4,20210328,2263634.39,2156558.62,48538.08,0,0,Standard
169,334,813,9,20200429,1253154.88,990123.55,37340.57,0,0,Standard
170,336,549,5,20220512,6617524.56,1327852.96,83529.45,0,0,Standard
171,337,1408,4,20201030,4774434.39,3665355.73,88853.66,0,0,Standard
172,338,211,6,20210227,7161266.56,2894079.87,75904.28,0,0,Standard
173,339,988,6,20230930,5032825.91,655512.82,119861.29,0,0,Standard
174,341,759,9,20220325,2798146.87,857847.12,31985.74,120,1,NPA
175,343,95,6,20200806,5205629.25,3276154.47,89820.48,0,0,Standard
176,344,1048,8,20240927,2272255.4,1084859.74,24696.95,0,0,Standard
177,345,1225,5,20230629,8236697.47,1440185.34,178295.68,15,0,Overdue
178,347,405,6,20230705,6809373.97,5696291.2,109138.03,0,0,Standard
179,348,1754,5,20240219,3403309.59,1391736.09,79318.63,0,0,Standard
180,352,1360,8,20231230,1481369.19,831698.63,33608.2,0,0,Standard
181,353,1579,6,20240629,6906553.44,4086580.65,123712.33,0,0,Standard
182,357,1672,4,20230413,2823957.52,1689670.91,74361.33,120,1,NPA
183,358,1950,9,20230313,153337.15,100892.32,3805.55,0,0,Standard
184,363,1293,8,20231023,1045240.0,688599.25,23806.28,0,0,Standard
185,364,359,5,20200115,7486037.7,3419717.67,207338.58,0,0,Standard
186,365,1737,4,20240611,6486766.95,6109628.39,108482.61,0,0,Standard
187,366,1909,4,20220823,2061243.79,1163231.44,44914.68,0,0,Standard
188,368,829,8,20221227,5643597.21,5495707.95,93218.62,0,0,Standard
189,369,1094,6,20230113,6685275.92,3622938.57,135828.72,15,0,Overdue
190,373,748,6,20220820,2736850.36,1523791.99,62671.82,0,0,Standard
191,375,483,6,20220628,6563436.52,6481776.07,94303.55,0,0,Standard
192,376,584,5,20241226,6204993.08,855677.94,171394.59,0,0,Standard
193,377,886,9,20201003,4830625.06,2712317.27,79154.37,60,0,Overdue
194,378,584,4,20240914,1798338.88,721508.98,21960.73,0,0,Standard
195,379,224,9,20231229,6475098.17,3617690.82,142285.98,0,0,Standard
196,381,1612,8,20200710,847070.73,618746.05,14369.64,60,0,Overdue
197,384,1653,6,20240331,4052994.85,2366107.57,46233.43,0,0,Standard
198,387,1091,8,20220301,5061472.04,756974.21,121609.31,60,0,Overdue
199,390,919,8,20221125,7751635.13,4793331.51,116516.68,0,0,Standard
200,391,399,5,20220603,8226816.62,3059020.58,155213.52,0,0,Standard
201,392,1696,9,20241207,7761926.36,1934578.33,146237.62,15,0,Overdue
202,394,708,6,20230808,3986485.77,2721692.23,51200.43,0,0,Standard
203,395,573,6,20220823,8389078.89,5940992.97,153141.65,30,0,Overdue
204,397,848,9,20220325,4742666.54,1851719.76,89294.31,0,0,Standard
205,399,1432,9,20220625,2517972.44,1094480.89,71697.51,0,0,Standard
206,400,557,6,20210919,5298892.9,4504165.72,100195.24,0,0,Standard
207,401,327,8,20241001,4441491.73,4201104.94,49051.69,90,1,NPA
208,402,1819,5,20240308,6691900.7,4946751.34,168732.28,0,0,Standard
209,403,1654,4,20230822,7999942.3,3089129.99,183182.55,0,0,Standard
210,405,1021,5,20200605,5372196.32,3219607.84,132698.98,0,0,Standard
211,406,1231,5,20210621,5392277.33,1925599.15,93282.74,0,0,Standard
212,407,1936,5,20231215,3141434.02,2813221.63,80182.52,0,0,Standard
213,409,1784,5,20211224,1689969.75,216894.69,38109.43,0,0,Standard
214,411,194,4,20221217,7380660.33,877555.42,210729.61,0,0,Standard
215,412,1656,9,20230412,7923034.58,1570604.09,122127.6,0,0,Standard
216,413,1308,9,20221112,4621608.52,4084133.06,106573.0,0,0,Standard
217,414,1746,8,20210404,1995823.53,280078.99,53640.41,90,1,NPA
218,415,587,9,20220329,176578.6,110791.5,2960.52,0,0,Standard
219,416,568,5,20230119,7175669.13,7142865.86,107131.62,60,0,Overdue
220,422,197,9,20220111,4274984.12,776112.13,57273.23,0,0,Standard
221,423,1533,5,20200801,5124093.72,4389075.66,85676.13,0,0,Standard
222,424,1615,4,20231230,4502751.22,4003922.65,85724.83,0,0,Standard
223,427,1293,4,20231109,4982990.38,1497391.34,109004.05,0,0,Standard
224,429,410,4,20200101,7598388.59,3287492.75,134224.19,0,0,Standard
225,430,932,5,20230701,4329407.04,3618675.57,50301.34,180,1,NPA
226,431,851,5,20220311,4595981.14,909830.5,79091.09,0,0,Standard
227,436,1868,9,20241103,7111789.99,4572207.82,112773.76,120,1,NPA
228,438,128,5,20240913,6577898.85,5586373.96,87784.38,60,0,Overdue
229,439,779,8,20210324,8175703.89,6374942.25,178161.7,0,0,Standard
230,440,1065,9,20231021,7970754.96,1666948.36,190061.72,0,0,Standard
231,443,937,6,20221213,1389497.65,1092426.76,23154.0,0,0,Standard
232,446,79,8,20200401,6816249.97,3668691.02,170365.85,0,0,Standard
233,448,1703,4,20231024,2683640.97,1254372.46,36602.1,0,0,Standard
234,452,1759,9,20240328,5356459.16,4490527.99,146359.06,180,1,NPA
235,453,955,6,20231119,5069773.97,3195066.12,144675.62,120,1,NPA
236,454,232,8,20220609,3234498.5,1256037.47,85289.86,0,0,Standard
237,455,349,9,20230826,7251687.67,5537480.02,163851.77,0,0,Standard
238,456,1865,6,20210622,3240059.28,1176316.13,93097.1,0,0,Standard
239,458,1404,9,20200927,5484921.26,2385929.18,88089.58,0,0,Standard
240,460,1226,5,20240715,2184787.47,1418115.71,59408.52,0,0,Standard
241,466,1376,4,20221211,4954715.42,2752667.04,123157.98,0,0,Standard
242,467,1648,9,20210101,6456365.33,2197548.59,132860.12,0,0,Standard
243,468,1988,8,20230424,4463406.71,1363385.65,96597.75,30,0,Overdue
244,470,180,6,20230822,371260.9,60159.42,10130.7,0,0,Standard
245,472,584,9,20210726,3136333.68,2034812.4,40768.07,15,0,Overdue
246,474,1574,6,20240920,8163009.64,7787147.83,181922.54,0,0,Standard
247,476,1094,9,20220603,7107082.82,4935763.15,149731.05,0,0,Standard
248,477,351,4,20220118,6451703.74,6092417.32,172056.43,0,0,Standard
249,478,262,4,20220614,2648669.74,683594.14,71434.51,0,0,Standard
250,481,890,9,20211116,6238214.63,2811395.5,135776.85,0,0,Standard
251,482,1743,4,20210805,2993954.78,1843572.98,75056.57,0,0,Standard
252,486,903,9,20240114,7146962.85,5453148.45,160575.94,0,0,Standard
253,490,298,5,20200923,7571867.55,4924023.23,173614.16,0,0,Standard
254,491,141,5,20240607,8143278.87,2193368.09,99733.15,0,0,Standard
255,493,49,9,20220903,1183295.12,747747.95,31584.39,0,0,Standard
256,494,101,5,20211120,8606000.9,6375634.42,247483.87,0,0,Standard
257,495,830,5,20240109,5817432.05,3460999.22,119513.02,0,0,Standard
258,496,559,8,20210920,4294345.81,4022620.42,71592.92,30,0,Overdue
259,497,417,9,20240209,5388640.24,1694058.51,58220.75,0,0,Standard
260,499,807,5,20220313,3359121.36,343877.87,90762.61,0,0,Standard
261,501,1414,8,20220622,3263787.38,447593.74,87390.05,0,0,Standard
262,502,1180,5,20200725,7184861.38,6522552.2,77596.85,0,0,Standard
263,504,416,9,20220726,4490877.4,3000042.99,85323.88,15,0,Overdue
264,507,1784,5,20200424,4055708.65,3124889.96,40732.32,0,0,Standard
265,509,1382,9,20210504,5407225.74,3617950.01,104586.37,90,1,NPA
266,511,1463,4,20241011,2337701.47,1140445.05,68877.46,0,0,Standard
267,512,1474,9,20200510,2973626.17,1059817.34,31938.79,15,0,Overdue
268,513,1806,9,20201017,1305733.52,1098023.8,20005.64,0,0,Standard
269,514,678,4,20200101,3835748.37,1572893.8,108367.35,180,1,NPA
270,515,600,6,20230903,8595932.96,7143046.78,177095.71,0,0,Standard
271,516,1466,6,20241111,2594893.62,1137541.56,77092.91,0,0,Standard
272,517,447,8,20230225,5633762.19,3277345.66,86144.46,0,0,Standard
273,521,891,4,20211224,2074994.14,1513754.52,45299.97,60,0,Overdue
274,522,549,9,20210609,5851540.1,4393681.7,85358.42,120,1,NPA
275,525,1733,5,20240419,5297971.47,4751905.05,150434.01,30,0,Overdue
276,527,821,8,20210117,8299963.28,6708213.22,112899.42,0,0,Standard
277,528,883,8,20230630,5237394.26,3390482.64,131994.01,0,0,Standard
278,529,1248,9,20230203,355808.59,275785.45,9411.61,0,0,Standard
279,530,1837,8,20210816,4302450.43,498237.85,92952.6,0,0,Standard
280,532,172,9,20220811,5476958.61,5188660.48,162178.56,0,0,Standard
281,533,436,6,20220725,8334484.09,1707609.67,140192.38,0,0,Standard
282,534,162,4,20200820,5582843.97,2532702.98,63332.36,180,1,NPA
283,535,211,6,20200124,3709734.72,1247272.33,53070.15,0,0,Standard
284,537,975,4,20220808,2684420.65,1359524.0,55986.01,120,1,NPA
285,539,842,4,20221010,770557.78,278076.28,11183.28,180,1,NPA
286,543,1149,4,20221022,3451779.18,2523861.12,85552.43,0,0,Standard
287,544,1128,9,20230405,2203193.44,567598.04,57634.18,15,0,Overdue
288,547,1210,4,20230617,2454353.18,1755748.59,63396.83,0,0,Standard
289,548,676,5,20241103,4484103.68,1222622.7,127663.9,0,0,Standard
290,549,1717,4,20230828,2132741.44,1358944.88,41827.89,0,0,Standard
291,551,1654,4,20230530,3524599.78,952788.95,38508.48,0,0,Standard
292,552,816,4,20210902,797651.04,394675.63,10176.18,15,0,Overdue
293,553,460,6,20231116,1126289.28,203017.81,21731.62,90,1,NPA
294,554,1912,5,20240117,4592089.98,1691004.5,47824.62,0,0,Standard
295,557,1579,4,20210407,6552230.6,4261719.18,81161.96,0,0,Standard
296,560,59,4,20201201,1259299.63,847741.38,14580.63,0,0,Standard
297,564,660,9,20210512,627688.57,535570.79,13851.6,0,0,Standard
298,566,808,6,20241230,4073351.62,1863329.51,98942.28,0,0,Standard
299,568,1391,8,20200315,8634170.68,3361039.54,251288.87,0,0,Standard
300,569,774,4,20200502,456463.59,128600.98,6654.88,0,0,Standard
301,572,89,9,20220528,1828291.92,194312.87,20568.29,0,0,Standard
302,573,1396,4,20231206,8962003.09,3052657.75,267242.92,0,0,Standard
303,576,1769,9,20200415,4648722.76,3588198.91,133481.38,120,1,NPA
304,578,82,9,20210827,7593823.58,2721756.08,88019.88,0,0,Standard
305,579,438,4,20240524,2951305.32,625909.79,55233.19,30,0,Overdue
306,583,744,6,20220922,5707974.76,2017070.75,108844.29,0,0,Standard
307,585,442,8,20231208,6151588.96,921465.34,165361.15,0,0,Standard
308,586,1293,9,20210312,994911.01,400543.29,11193.55,90,1,NPA
309,590,871,9,20220218,7219102.92,1089418.51,105080.16,60,0,Overdue
310,591,1189,5,20240611,5434246.83,2164365.64,143600.59,0,0,Standard
311,593,657,6,20240819,854219.36,791031.31,18209.32,0,0,Standard
312,596,549,4,20221126,4940385.24,2116585.96,113310.74,0,0,Standard
313,598,780,4,20231114,1762367.43,997696.61,36942.87,60,0,Overdue
314,600,171,5,20221217,4540714.05,1131619.51,94854.52,0,0,Standard
315,602,1687,9,20240328,6903737.03,3317972.03,187283.47,0,0,Standard
316,604,1391,8,20200131,3939445.46,3119454.09,115353.45,60,0,Overdue
317,607,830,5,20230106,8796640.44,5314745.82,174135.34,0,0,Standard
318,612,1007,6,20201125,7053448.96,5397707.46,102217.76,15,0,Overdue
319,613,1215,9,20241029,8143779.74,3758495.25,228272.86,0,0,Standard
320,614,646,4,20240918,772118.42,297577.25,8169.11,120,1,NPA
321,617,576,5,20240402,233841.48,101609.64,7004.93,30,0,Overdue
322,618,335,8,20200117,1350320.49,758889.77,14847.89,0,0,Standard
323,619,1468,9,20230104,5549617.09,5177824.79,93551.36,120,1,NPA
324,625,468,9,20221111,1671183.13,442681.86,38026.16,0,0,Standard
325,631,25,4,20220716,402852.02,275299.33,11632.4,0,0,Standard
326,637,1175,4,20230820,8312225.6,2347758.57,185486.66,60,0,Overdue
327,638,929,6,20240502,6816023.19,3680287.6,68385.87,0,0,Standard
328,639,607,4,20211025,7320710.9,4422275.91,93583.97,0,0,Standard
329,644,1961,8,20220511,7028286.02,4802820.11,167659.7,0,0,Standard
330,645,1719,8,20210529,4582406.71,4487330.82,117650.43,0,0,Standard
331,647,1956,9,20200710,3996160.18,3743112.35,59303.5,0,0,Standard
332,649,1449,9,20211106,274300.38,234444.53,7211.63,0,0,Standard
333,650,1550,6,20241202,6023432.27,5462652.57,136712.09,0,0,Standard
334,651,309,6,20231210,3891117.67,528652.74,90965.98,0,0,Standard
335,654,66,8,20201105,8627582.62,8324308.61,246414.6,0,0,Standard
336,655,1842,4,20201215,615365.13,184446.29,10130.31,0,0,Standard
337,657,110,6,20210628,3957202.4,3418492.85,44054.23,0,0,Standard
338,658,598,9,20200118,7879797.89,3821960.44,157429.43,0,0,Standard
339,659,138,4,20220915,7280072.83,2926145.02,211723.46,0,0,Standard
340,663,1580,8,20241017,5595036.76,5041605.36,66730.04,15,0,Overdue
341,664,69,9,20230422,7436725.67,5407193.42,167546.58,0,0,Standard
342,666,900,8,20200621,5286631.59,4123788.78,138338.82,0,0,Standard
343,668,368,8,20221215,7314534.54,6734195.61,174828.35,15,0,Overdue
344,669,1484,6,20200910,7793786.75,2458096.6,190185.88,0,0,Standard
345,671,598,4,20230814,8964270.2,5754147.01,244001.58,0,0,Standard
346,672,375,8,20200716,5942716.03,5490351.36,86521.51,0,0,Standard
347,675,512,6,20220615,6538044.17,4161928.37,182051.74,0,0,Standard
348,676,535,9,20220312,7328687.59,1691984.01,189399.48,0,0,Standard
349,679,1791,9,20210317,596884.83,344448.64,14841.45,0,0,Standard
350,681,92,5,20201130,8188813.2,5071861.42,124324.04,0,0,Standard
351,684,822,6,20211004,4145187.58,1911359.31,69590.39,180,1,NPA
352,686,278,5,20230125,5003324.92,684611.85,69340.24,120,1,NPA
353,689,577,5,20200530,8336539.95,4862896.9,199937.78,15,0,Overdue
354,690,1489,9,20240522,4269449.66,3702142.29,107581.24,0,0,Standard
355,691,1589,6,20231219,5659479.44,3323644.44,167005.05,0,0,Standard
356,694,468,6,20210331,4490343.06,2223502.11,96329.07,0,0,Standard
357,697,1933,9,20211124,4596541.68,1428663.68,131708.22,0,0,Standard
358,698,1084,4,20210920,1980673.89,606111.29,33107.24,0,0,Standard
359,700,1006,5,20241207,8737447.12,1216985.94,235089.0,0,0,Standard
360,701,1024,6,20220211,4118466.0,3288297.75,71511.63,0,0,Standard
361,702,749,8,20210503,5931141.39,5548141.26,171106.87,0,0,Standard
362,705,350,4,20241025,7617862.64,6602400.18,152941.32,0,0,Standard
363,709,328,8,20201217,2745136.66,493708.64,44704.93,0,0,Standard
364,710,1801,4,20200805,6333494.72,5365381.27,77987.84,0,0,Standard
365,711,790,8,20240128,2169231.74,1435053.02,54576.37,0,0,Standard
366,715,1510,5,20231216,8629902.1,3306181.21,235393.04,0,0,Standard
367,720,1609,8,20230108,8600348.09,2103226.41,232478.48,0,0,Standard
368,721,1337,8,20210202,530813.62,415104.97,9775.36,60,0,Overdue
369,722,198,8,20230621,8851623.89,2926475.36,242940.96,15,0,Overdue
370,723,172,9,20230712,4275210.15,1730064.1,83788.16,90,1,NPA
371,724,923,5,20200416,7884113.61,3186374.84,115150.04,0,0,Standard
372,725,621,8,20241108,8845410.29,3487098.48,213282.72,0,0,Standard
